dp,minDist,param1,param2,minRadius,maxRadius,f1_score
1.0,15.0,250.0,18.0,9.0,20.0,0.6271842501164143
1.0,15.0,150.0,18.0,9.0,20.0,0.6271842501164143
1.0,15.0,200.0,18.0,9.0,20.0,0.6271842501164143
1.0,27.0,250.0,15.0,5.0,15.0,0.6270902904049592
1.0,27.0,150.0,15.0,5.0,15.0,0.6270902904049592
1.0,27.0,200.0,15.0,5.0,15.0,0.6270902904049592
1.0,27.0,300.0,15.0,5.0,15.0,0.6270902904049592
1.0,21.0,200.0,22.0,7.0,25.0,0.6263149142686011
1.0,21.0,300.0,22.0,7.0,25.0,0.6263149142686011
1.0,21.0,150.0,22.0,7.0,25.0,0.6263149142686011
1.0,21.0,250.0,22.0,7.0,25.0,0.6263149142686011
1.0,27.0,300.0,22.0,7.0,25.0,0.6256555134350801
1.0,27.0,150.0,22.0,7.0,25.0,0.6256555134350801
1.0,27.0,250.0,22.0,7.0,25.0,0.6256555134350801
1.0,27.0,200.0,22.0,7.0,25.0,0.6256555134350801
1.0,24.0,250.0,17.0,7.0,20.0,0.6245482133445726
1.0,24.0,150.0,17.0,7.0,20.0,0.6245482133445726
1.0,24.0,300.0,17.0,7.0,20.0,0.6245482133445726
1.0,24.0,200.0,17.0,7.0,20.0,0.6245482133445726
1.0,18.0,250.0,23.0,7.0,25.0,0.6245295690780938
1.0,18.0,150.0,23.0,7.0,25.0,0.6245295690780938
1.0,18.0,200.0,23.0,7.0,25.0,0.6245295690780938
1.0,18.0,300.0,23.0,7.0,25.0,0.6245295690780938
1.0,24.0,300.0,24.0,5.0,25.0,0.624263361000523
1.0,24.0,150.0,24.0,5.0,25.0,0.624263361000523
1.0,24.0,200.0,24.0,5.0,25.0,0.624263361000523
1.0,24.0,250.0,24.0,5.0,25.0,0.624263361000523
1.0,21.0,150.0,21.0,5.0,20.0,0.6239000973573432
1.0,21.0,300.0,21.0,5.0,20.0,0.6239000973573432
1.0,21.0,250.0,21.0,5.0,20.0,0.6239000973573432
1.0,21.0,200.0,21.0,5.0,20.0,0.6239000973573432
1.0,27.0,150.0,17.0,7.0,20.0,0.6236959270119596
1.0,27.0,200.0,17.0,7.0,20.0,0.6236959270119596
1.0,27.0,250.0,17.0,7.0,20.0,0.6236959270119596
1.0,27.0,300.0,17.0,7.0,20.0,0.6236959270119596
1.0,24.0,300.0,20.0,7.0,20.0,0.6236759822827823
1.0,24.0,150.0,20.0,7.0,20.0,0.6236759822827823
1.0,24.0,250.0,20.0,7.0,20.0,0.6236759822827823
1.0,24.0,200.0,20.0,7.0,20.0,0.6236759822827823
1.0,27.0,300.0,17.0,9.0,20.0,0.6227216036726478
1.0,27.0,250.0,17.0,9.0,20.0,0.6227216036726478
1.0,27.0,200.0,17.0,9.0,20.0,0.6227216036726478
1.0,27.0,150.0,17.0,9.0,20.0,0.6227216036726478
1.0,18.0,250.0,21.0,5.0,20.0,0.6225007738852999
1.0,18.0,300.0,21.0,5.0,20.0,0.6225007738852999
1.0,18.0,150.0,21.0,5.0,20.0,0.6225007738852999
1.0,18.0,200.0,21.0,5.0,20.0,0.6225007738852999
1.0,24.0,300.0,16.0,9.0,20.0,0.6213159749754227
1.0,24.0,150.0,16.0,9.0,20.0,0.6213159749754227
1.0,24.0,250.0,16.0,9.0,20.0,0.6213159749754227
1.0,24.0,200.0,16.0,9.0,20.0,0.6213159749754227
1.0,15.0,200.0,16.0,5.0,15.0,0.6209133698416625
1.0,15.0,150.0,16.0,5.0,15.0,0.6209133698416625
1.0,15.0,250.0,16.0,5.0,15.0,0.6209133698416625
1.0,15.0,300.0,16.0,5.0,15.0,0.6209133698416625
1.0,27.0,200.0,18.0,5.0,20.0,0.6204886029368297
1.0,27.0,150.0,18.0,5.0,20.0,0.6204886029368297
1.0,27.0,300.0,18.0,5.0,20.0,0.6204886029368297
1.0,27.0,250.0,18.0,5.0,20.0,0.6204886029368297
1.0,27.0,250.0,23.0,7.0,25.0,0.6200967490863418
1.0,27.0,150.0,23.0,7.0,25.0,0.6200967490863418
1.0,27.0,300.0,23.0,7.0,25.0,0.6200967490863418
1.0,27.0,200.0,23.0,7.0,25.0,0.6200967490863418
1.0,18.0,250.0,19.0,5.0,20.0,0.6199078782618836
1.0,18.0,200.0,19.0,5.0,20.0,0.6199078782618836
1.0,18.0,300.0,19.0,5.0,20.0,0.6199078782618836
1.0,18.0,150.0,19.0,5.0,20.0,0.6199078782618836
1.0,24.0,250.0,23.0,5.0,25.0,0.6194600965452034
1.0,24.0,300.0,23.0,5.0,25.0,0.6194600965452034
1.0,24.0,200.0,23.0,5.0,25.0,0.6194600965452034
1.0,24.0,150.0,23.0,5.0,25.0,0.6194600965452034
1.0,21.0,300.0,16.0,9.0,20.0,0.618833899680918
1.0,21.0,250.0,16.0,9.0,20.0,0.618833899680918
1.0,21.0,200.0,16.0,9.0,20.0,0.618833899680918
1.0,21.0,150.0,16.0,9.0,20.0,0.618833899680918
1.0,24.0,250.0,21.0,9.0,25.0,0.618792266120198
1.0,24.0,150.0,21.0,9.0,25.0,0.618792266120198
